s_time,label,fname
9550,0,ABI-Ashutosh-25-Sept-2019_20190925_102455.mff
15549,2,ABI-Ashutosh-25-Sept-2019_20190925_102455.mff
21547,9,ABI-Ashutosh-25-Sept-2019_20190925_102455.mff
27547,0,ABI-Ashutosh-25-Sept-2019_20190925_102455.mff
33547,9,ABI-Ashutosh-25-Sept-2019_20190925_102455.mff
39545,5,ABI-Ashutosh-25-Sept-2019_20190925_102455.mff
45544,6,ABI-Ashutosh-25-Sept-2019_20190925_102455.mff
51543,6,ABI-Ashutosh-25-Sept-2019_20190925_102455.mff
57545,2,ABI-Ashutosh-25-Sept-2019_20190925_102455.mff
63541,7,ABI-Ashutosh-25-Sept-2019_20190925_102455.mff
69540,5,ABI-Ashutosh-25-Sept-2019_20190925_102455.mff
75539,0,ABI-Ashutosh-25-Sept-2019_20190925_102455.mff
81539,3,ABI-Ashutosh-25-Sept-2019_20190925_102455.mff
87538,1,ABI-Ashutosh-25-Sept-2019_20190925_102455.mff
93536,7,ABI-Ashutosh-25-Sept-2019_20190925_102455.mff
99535,0,ABI-Ashutosh-25-Sept-2019_20190925_102455.mff
105536,6,ABI-Ashutosh-25-Sept-2019_20190925_102455.mff
111535,9,ABI-Ashutosh-25-Sept-2019_20190925_102455.mff
117536,3,ABI-Ashutosh-25-Sept-2019_20190925_102455.mff
123534,7,ABI-Ashutosh-25-Sept-2019_20190925_102455.mff
129532,0,ABI-Ashutosh-25-Sept-2019_20190925_102455.mff
135531,1,ABI-Ashutosh-25-Sept-2019_20190925_102455.mff
141531,8,ABI-Ashutosh-25-Sept-2019_20190925_102455.mff
147530,7,ABI-Ashutosh-25-Sept-2019_20190925_102455.mff
153529,3,ABI-Ashutosh-25-Sept-2019_20190925_102455.mff
159528,3,ABI-Ashutosh-25-Sept-2019_20190925_102455.mff
165527,9,ABI-Ashutosh-25-Sept-2019_20190925_102455.mff
171526,7,ABI-Ashutosh-25-Sept-2019_20190925_102455.mff
177526,0,ABI-Ashutosh-25-Sept-2019_20190925_102455.mff
